alternative,reliability_fraction,total_unmet_ml,mean_annual_leakage_ml,mean_annual_ghg_net_kg_co2e,mean_annual_acidification_net_kg_so2e,mean_annual_eutrophication_net_kg_po4e,present_total_cost_eur,total_energy_generated_kwh
BAU,1.0,3.5846881019097054e-12,16522.845919268075,176228637.07210976,89016.74560156773,5279418.347067299,118287156.13935122,40068517.72791024
Leakage reduction,1.0000000000000002,2.2506441155201173e-12,13385.106084080606,175565567.3973165,86486.74302986488,5278786.241632234,117825845.02390528,40068517.72791024
Enhanced reuse,1.0,3.7410075037769275e-12,15701.333456968272,169739379.6316613,85104.01647691133,5367974.5950635355,117446300.8968828,38624922.68419837
